= 未分组 =
天映经典,http://162.19.247.76:22222/live/tyjd/index.m3u8
天映经典,http://120.84.96.21:808/hls/85/index.m3u8
私人影院,http://171.108.239.98:8181/tsfile/live/1014_1.m3u8
中天娱乐,http://162.19.247.76:22222/live/ztyl/index.m3u8
中天亚洲,http://162.19.247.76:22222/live/ztyz/index.m3u8
纬来体育,http://cloud.yumixiu768.com/tmp/123.m3u8
ELEVEN1,http://live.qiyuevod.com/dextv/tw.php?id=11
ELEVEN2,http://live.qiyuevod.com/dextv/tw.php?id=12
MOMO综合,http://live.qiyuevod.com/dextv/tw.php?id=13
番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
大爱1台,https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8

测壹,#genre#
翡翠台,http://live.qiyuevod.com/dextv/hkxs.php?id=x1
明珠台,http://live.qiyuevod.com/dextv/hkxs.php?id=x2
TVB J2,http://live.qiyuevod.com/dextv/hkxs.php?id=x3
无线新闻,http://live.qiyuevod.com/dextv/hkxs.php?id=x4
无线财经,http://live.qiyuevod.com/dextv/hkxs.php?id=x5
ViuTV,http://live.qiyuevod.com/dextv/hkxs.php?id=x6
ViuTV6,http://live.qiyuevod.com/dextv/hkxs.php?id=x7
RTHK31,http://live.qiyuevod.com/dextv/hkxs.php?id=x8
RTHK32,http://live.qiyuevod.com/dextv/hkxs.php?id=x9
HOY TV,http://live.qiyuevod.com/dextv/hkxs.php?id=x10
HOY 资讯台,http://live.qiyuevod.com/dextv/hkxs.php?id=x11
翡翠台(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c1
明珠台(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c2
TVB J2(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c3
无线新闻(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c4
无线财经(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c5
ViuTV(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c6
ViuTVSix(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c7
RTHK31(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c8
RTHK32(软解),http://live.qiyuevod.com/dextv/hkcs2.php?id=c9
翡翠台(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c1
明珠台(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c2
TVB J2(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c3
无线新闻(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c4
无线财经(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c5
ViuTV(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c6
ViuTV6(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c7
RTHK31(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c8
RTHK32(软解),http://live.qiyuevod.com/dextv/hkcs.php?id=c9
翡翠台(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c1
明珠台(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c2
TVB J2(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c3
无线新闻(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c4
无线财经(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c5
ViuTV(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c6
ViuTV6(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c7
RTHK31(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c8
RTHK32(软解),http://live.qiyuevod.com/dextv/hkcs3.php?id=c9
now新闻,https://sc2022.stream-link.org/tv2306.php?id=c02
凤凰中文,http://222.209.244.139:8188/udp/239.93.1.9:2192
凤凰资讯,http://222.209.244.139:8188/udp/239.93.1.4:2191
凤凰资讯,http://fast.qiyuevod.com/live.m3u8?c=1
镜新闻,http://fast.qiyuevod.com/live.m3u8?c=2
TVBS,http://fast.qiyuevod.com/live.m3u8?c=3
TVBS News,http://fast.qiyuevod.com/live.m3u8?c=4
TVBS新闻,http://fast.qiyuevod.com/live.m3u8?c=5
台视新闻,http://fast.qiyuevod.com/live.m3u8?c=6
中视新闻,http://fast.qiyuevod.com/live.m3u8?c=7
民视新闻,http://fast.qiyuevod.com/live.m3u8?c=8
公视新闻,http://fast.qiyuevod.com/live.m3u8?c=18
东森LIVE,http://fast.qiyuevod.com/live.m3u8?c=9
东森新闻,http://fast.qiyuevod.com/live.m3u8?c=10
东森财经,http://fast.qiyuevod.com/live.m3u8?c=11
中天新闻,http://fast.qiyuevod.com/live.m3u8?c=13
寰宇新闻,http://fast.qiyuevod.com/live.m3u8?c=14
寰宇新闻,http://fast.qiyuevod.com/live.m3u8?c=15
三立新闻,http://fast.qiyuevod.com/live.m3u8?c=16
三立财经,http://fast.qiyuevod.com/live.m3u8?c=17
民视,http://fast.qiyuevod.com/live.m3u8?c=19
民视台湾,http://fast.qiyuevod.com/live.m3u8?c=20
民视第一,http://fast.qiyuevod.com/live.m3u8?c=21
民视综艺,http://fast.qiyuevod.com/live.m3u8?c=22
民视影剧,http://fast.qiyuevod.com/live.m3u8?c=23
民视旅游,http://fast.qiyuevod.com/live.m3u8?c=24

公告,#genre#
海燕TV,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw5Cv4gUoiZqZ4wE.mp4
永久免费,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw5Cv4gUoiZqZ4wE.mp4
严禁商用,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw5Cv4gUoiZqZ4wE.mp4
违者自负,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw5Cv4gUoiZqZ4wE.mp4
方便小白,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw5Cv4gUoiZqZ4wE.mp4
大佬请绕道,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgw5Cv4gUoiZqZ4wE.mp4

🌞港澳,#genre#
凤凰中文台,P2p://135.148.104.228:19806/64e1ab2a000417167359b3ca0417008f
凤凰资讯台,P2p://135.148.104.228:19806/f793ad2fdd964b9d9018896a85234600
凤凰香港台,P2p://135.148.104.228:19806/cf189b4823b84184bae60783da5a1db3
凤凰电影台,P2p://135.148.104.228:19806/2f87c74949904bf5b59b0090ea24a86b
澳门MACAU,P2p://135.148.104.228:19806/17321a79191445889d2a718375d76471
澳门莲花,P2p://135.148.104.228:19806/eb6f04e66d8d46b7ab11bc2d38cae6f9
香港国际财经台,P2p://135.148.104.228:19806/f09ac5d51854497593cf989f16dd97fc
翡翠台,P2p://135.148.104.228:19806/220b49a6000a434b9ee6771a35c14f67
翡翠台(备),P2p://135.148.104.228:19806/24dc638011e14bd89916a5c771d27672
黄金翡翠台,P2p://135.148.104.228:19806/22725782a38d437cb56a92eede2d8c3b
明珠台,P2p://135.148.104.228:19806/dbd02adcc2f54d85be7fff6f5c465b85
TVB J2,P2p://135.148.104.228:19806/83317d6eb99b446d95e359d676f16f36
TVB星河(粤),P2p://135.148.104.228:19806/8c81917b79d247f3a60857411973d9a5
千禧经典台,P2p://135.148.104.228:19806/82237250e487405d87030dd69457ddd8
TVB娱乐新闻台,P2p://135.148.104.228:19806/86fe6741d7da4c59919680e5d9857450
粤语片台,P2p://135.148.104.228:19806/887df0bf0d8d492d95b9c2fdf6cc9694
亚洲剧台,P2p://135.148.104.228:19806/ddd1f7ef6ccc486eb861a1215115d7d2
功夫台,P2p://135.148.104.228:19806/4c3f27dd7eb44be289557ccfb7c410b3
戏曲台,P2p://135.148.104.228:19806/64e1e6030000081f743f926825ac558c
18台,P2p://135.148.104.228:19806/3fb4bcf94b124e15961f49dcde926da9
Hands Up,P2p://135.148.104.228:19806/e78b4e2900154414a93f2ccd57a18d04
无线新闻台,P2p://135.148.104.228:19806/358bb32c3a944c65bbdf4d0aac3c3e10
无线新闻台(备),P2p://135.148.104.228:19806/7c5dd5c227254e398d53ca1f86859340
无线财经台,P2p://135.148.104.228:19806/dca078faa0094424b00018fec18ef970
有线 18,P2p://135.148.104.228:19806/140377dc9e0848678d614d451d69af9e
ViuTV,P2p://135.148.104.228:19806/e6f715d7d15f4aa2bd3c9257aa7b95e3
ViuTVsix,P2p://135.148.104.228:19806/58d17467e46d4423bdfcb646eb8ac2f3
now新闻台,P2p://135.148.104.228:19806/4ff1faddfb8a44829404ef27aaf0be35
now财经台,P2p://135.148.104.228:19806/b9f91cc1cb2543b0a4da323effe673e8
HOY TV,P2p://135.148.104.228:19806/66ae283536404e0fa8b242fdfc01fd6f
HOY 资讯台,P2p://135.148.104.228:19806/415368ba86e14ffcbfb8eb75955909b6
港台电视31,P2p://135.148.104.228:19806/46b5d17a4a76433fa3c8844ea592f1a4
港台电视32,P2p://135.148.104.228:19806/bf27a990692d464287ecbc83a985d4e8
Thrill,P2p://135.148.104.228:19806/46537ab6e0be4f6384a750a856a1c045
美亚电影台(粤语),P2p://135.148.104.228:19806/6eac4ae393a34f7ca2da2a053a558ebb

🌞台湾,#genre#
台视,P2p://135.148.104.228:19806/db1ae87e258f44af90cae52fda2d0c4c
台视(备),P2p://135.148.104.228:19806/6e6576428746434cb4ebdecf54e0c190
